Fighter_Id,Fighter_Name,n_fights,weight_lbs,Stance,sig_str_pm,td_per_fight,sub_per_fight,kd_per_fight,ctrl_sec_per_fight,sig_str_accuracy,td_accuracy,head_ratio,body_ratio,leg_ratio,dist_ratio,clinch_ratio,ground_ratio,ko_rate,sub_rate,dec_rate,win_rate,cluster,style_label
5444c5a201d3ee5a,Jamahal Hill,5,205.0,Southpaw,5.957244655581947,0.0,0.0,0.4,11.4,0.4504310344827586,0.0,0.5454545454545454,0.3397129186602871,0.1148325358851674,0.9138755980861244,0.0717703349282296,0.0143540669856459,0.6363636363636364,0.0,0.2727272727272727,0.1818181818181818,2,Aggressive Strikers
5580771f383e141f,Jesse Ronson,5,155.0,Southpaw,3.644123440577807,0.2,0.2,0.2,21.2,0.4768041237113402,0.2,0.5027027027027027,0.2486486486486486,0.2486486486486486,0.8540540540540541,0.0648648648648648,0.081081081081081,0.1666666666666666,0.1666666666666666,0.5,0.1666666666666666,3,Balanced Decision Fighters
55ee431411ccf07a,Olivier Aubin-Mercier,7,155.0,Southpaw,2.5536899648574773,2.571428571428572,0.7142857142857143,0.1428571428571428,304.85714285714283,0.5396039603960396,0.3396226415094339,0.6467889908256881,0.2293577981651376,0.1238532110091743,0.6880733944954128,0.1788990825688073,0.1330275229357798,0.0833333333333333,0.3333333333333333,0.5833333333333334,0.6666666666666666,1,Wrestlers / Grapplers
55fa6ce3e522c8bb,Zhalgas Zhumagulov,6,125.0,Switch,4.873864783047427,1.0,0.1666666666666666,0.0,77.16666666666667,0.46,0.1935483870967742,0.3416149068322981,0.3385093167701863,0.3198757763975155,0.9409937888198758,0.0527950310559006,0.0062111801242236,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.2857142857142857,3,Balanced Decision Fighters
5755960ebd0b16f6,Ivan Menjivar,7,145.0,Orthodox,2.3979148566463944,0.2857142857142857,0.8571428571428571,0.2857142857142857,36.142857142857146,0.3854748603351955,0.3333333333333333,0.5362318840579711,0.2536231884057971,0.2101449275362318,0.6086956521739131,0.1666666666666666,0.2246376811594203,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.6666666666666666,3,Balanced Decision Fighters
578ef12674df1e6a,Irene Aldana,11,135.0,Orthodox,5.283757338551859,0.0909090909090909,0.2727272727272727,0.1818181818181818,16.09090909090909,0.4014272970561998,0.5,0.6955555555555556,0.1288888888888889,0.1755555555555555,0.9011111111111112,0.0555555555555555,0.0433333333333333,0.2142857142857142,0.0714285714285714,0.7142857142857143,0.5,2,Aggressive Strikers
579fcdfcabd23a7b,Brian Stann,10,205.0,Orthodox,2.833099579242637,0.0,0.2,0.4,93.1,0.4214186369958275,0.0,0.4983498349834983,0.1947194719471947,0.3069306930693069,0.594059405940594,0.2079207920792079,0.198019801980198,0.3636363636363636,0.2727272727272727,0.3636363636363636,0.4545454545454545,3,Balanced Decision Fighters
57ab4d7c0bc09a30,Zach Makovsky,5,125.0,Southpaw,2.0933333333333333,3.2,0.0,0.0,252.0,0.4498567335243553,0.2758620689655172,0.6050955414012739,0.1401273885350318,0.2547770700636942,0.6878980891719745,0.1146496815286624,0.197452229299363,0.0,0.0,1.0,0.4285714285714285,1,Wrestlers / Grapplers
57b10fca4f9c9a7a,Alex Oliveira,12,170.0,Orthodox,2.5228975853455453,1.6666666666666667,0.3333333333333333,0.25,216.91666666666663,0.4848,0.3636363636363636,0.5577557755775577,0.2706270627062706,0.1716171617161716,0.5841584158415841,0.2211221122112211,0.1947194719471947,0.2727272727272727,0.3636363636363636,0.3181818181818182,0.5909090909090909,0,Submission Hunters
583ee11abddfc581,Nate Landwehr,6,145.0,Orthodox,5.781294150890082,0.8333333333333334,0.8333333333333334,0.1666666666666666,103.16666666666669,0.4558823529411764,0.4166666666666667,0.7067448680351907,0.158357771260997,0.1348973607038123,0.7038123167155426,0.2228739002932551,0.0733137829912023,0.5,0.2,0.3,0.7,2,Aggressive Strikers
5866fc86183a9fb8,Erick Silva,11,170.0,Orthodox,2.25,0.5454545454545454,0.9090909090909092,0.2727272727272727,88.54545454545455,0.4896373056994819,0.4,0.5978835978835979,0.2433862433862433,0.1587301587301587,0.5978835978835979,0.1111111111111111,0.291005291005291,0.4,0.3333333333333333,0.2,0.7333333333333333,0,Submission Hunters
58bbef3770bb2dfc,Joel Alvarez,6,155.0,Orthodox,3.756414642490592,0.0,0.5,0.1666666666666666,12.0,0.5243553008595988,0.0,0.7103825136612022,0.1967213114754098,0.0928961748633879,0.7213114754098361,0.1857923497267759,0.0928961748633879,0.5,0.3,0.2,0.4,2,Aggressive Strikers
